,id,prod_name,winery,wine_type,score,price,flavor1,flavor2,prod_link
1127,24562732,Max Chardonnay 2018,Errazuriz,White wine,3.8,44000,,0,https://www.vivino.com/errazuriz-max-chardonnay/w/9050009?year=2018&price_id=24562732
1128,24587466,Five Hills 2019,Cable Bay,Red wine,4.0,35008,"chocolate, oak, coffee",0,https://www.vivino.com/cable-bay-vineyards-five-hills/w/1724255?year=2019&price_id=24587466
1129,24588728,Reserve Malbec 2014,San Telmo,Red wine,3.7,19900,,0,https://www.vivino.com/san-telmo-mendoza-tradicion-malbec-syrah/w/2269467?year=2014&price_id=24588728
1130,24588729,Reserve Malbec 2015,San Telmo,Red wine,3.7,19900,,0,https://www.vivino.com/san-telmo-mendoza-tradicion-malbec-syrah/w/2269467?year=2015&price_id=24588729
1131,24588733,Reserve Malbec 2019,San Telmo,Red wine,3.8,19900,,0,https://www.vivino.com/san-telmo-mendoza-tradicion-malbec-syrah/w/2269467?year=2019&price_id=24588733
1132,24588742,Reserve Cabernet Sauvignon 2018,San Telmo,Red wine,3.8,19900,,0,https://www.vivino.com/san-telmo-reserve-cabernet-sauvignon/w/5964524?year=2018&price_id=24588742
1133,24622997,Blood Creek 2014,Frenchmans Hill,Red wine,4.5,116710,,0,https://www.vivino.com/frenchmans-hill-blood-creek/w/3830817?year=2014&price_id=24622997
1134,24659371,Bendigo Estate Pinot Noir 2019,Quartz Reef,Red wine,4.1,70801,"cherry, raspberry, stra...",0,https://www.vivino.com/quartz-reef-bendigo-estate-pinot-noir/w/1957132?year=2019&price_id=24659371
1135,24677763,Tipua 2015,Te Motu,Red wine,4.3,108929,,0,https://www.vivino.com/te-motu-tipua/w/3555449?year=2015&price_id=24677763
1136,24677766,A2 Pinot Noir 2018,Akitu,Red wine,4.0,35008,"cherry, strawberry, ras...",0,https://www.vivino.com/akitu-a2-pinot-noir/w/5479824?year=2018&price_id=24677766
1137,24677767,Moutere Pinot Noir 2019,Neudorf Vineyards,Red wine,4.0,49014,"cherry, raspberry, red ...",0,https://www.vivino.com/neudorf-moutere-pinot-noir/w/42794?year=2019&price_id=24677767
1138,24691977,Bella Reserve 2019,Mondillo,Red wine,4.4,93366,,0,https://www.vivino.com/nz-mondillo-bella-reserve-otago/w/4115571?year=2019&price_id=24691977
1139,24702931,Single Vineyard 5182 Pinot Gris 2020,Te Whare Ra,White wine,3.8,21780,,0,https://www.vivino.com/te-whare-ra-single-vineyard-5182-pinot-gris/w/1112485?year=2020&price_id=24702931
1140,24742558,Domaene Gobelsburg Riesling 2018,Schloss Gobelsburg,White wine,4.0,40094,"apple, green apple, pea...",0,https://www.vivino.com/schloss-gobelsburg-domaene-gobelsburg-riesling/w/20132?year=2018&price_id=24742558
1141,24839149,Giallo d'Arles Greco di Tufo 2017,Quintodecimo,White wine,4.2,93149,,0,https://www.vivino.com/quintodecimo-giallo-d-arles-greco-di-tufo/w/1211299?year=2017&price_id=24839149
1142,24839154,Jackson Estate Outland Ridge Pinot Noir 2017,Kendall-Jackson,Red wine,4.2,89099,,0,https://www.vivino.com/kendall-jackson-jackson-estate-outland-ridge-pinot-noir-anderson-valley/w/5402563?year=2017&price_id=24839154
1143,24839155,Sul Vulcano Etna Bianco 2017,Donnafugata,White wine,4.2,64799,,0,https://www.vivino.com/donnafugata-sul-vulcano-etna-bianco-etna/w/6334373?year=2017&price_id=24839155
1144,24839156,Sul Vulcano Etna Rosso 2016,Donnafugata,Red wine,3.8,64799,,0,https://www.vivino.com/donnafugata-sul-vulcano-etna-rosso-etna/w/6514155?year=2016&price_id=24839156
1145,24839158,Terra d'Eclano Aglianico Irpinia 2015,Quintodecimo,Red wine,4.2,105298,,0,https://www.vivino.com/quintodecimo-terra-d-eclano-aglianico-irpinia/w/1245573?year=2015&price_id=24839158
